Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
NGA,2013-04-01,2013-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2013,2013,,81.814895,A,base year is 2015
NGA,2014-04-01,2014-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2014,2014,,89.494675,A,base year is 2015
NGA,2015-04-01,2015-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2015,2015,,97.958295,A,base year is 2015
NGA,2016-04-01,2016-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2016,2016,,110.790118,A,base year is 2015
NGA,2017-04-01,2017-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2017,2017,,132.037470,A,base year is 2015
NGA,2018-04-01,2018-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2018,2018,,151.557759,A,base year is 2015
NGA,2019-04-01,2019-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2019,2019,,172.239910,A,base year is 2015
NGA,2020-04-01,2020-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2020,2020,,197.979997,A,base year is 2015
NGA,2021-04-01,2021-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2021,2021,,242.694923,A,base year is 2015
NGA,2022-04-01,2022-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2022,2022,,287.155504,A,base year is 2015
NGA,2023-04-01,2023-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2023,2023,,357.433216,A,base year is 2015
NGA,2000-05-01,2000-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2000,2000,,17.264046,A,base year is 2015
NGA,2001-05-01,2001-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2001,2001,,22.579620,A,base year is 2015
