Date,Price,Open,High,Low,Vol.,Change %
2012-12-31,156.15,156.15,156.35,156.15,,0.00%
2013-01-01,156.15,156.15,156.15,156.15,,0.00%
2013-01-02,156.7,156.15,156.7,156.15,,0.35%
2013-01-03,156.2,156.35,156.5,156.2,,-0.32%
2013-01-04,156.7,156.35,156.7,156.3,,0.32%
2013-01-07,157.0,156.35,157.5,156.35,,0.19%
2013-01-08,156.1,157.05,157.05,156.1,,-0.57%
2013-01-09,156.45,156.3,156.72,156.26,,0.22%
2013-01-10,156.125,156.225,156.525,155.875,,-0.21%
2013-01-11,156.31,156.4,156.31,156.3,,0.12%
2013-01-14,156.375,156.775,157.225,156.225,,0.04%
2013-01-15,157.15,156.85,157.15,156.55,,0.50%
2013-01-16,157.3,157.25,157.33,157.2,,0.10%
2013-01-17,157.05,157.25,157.25,156.65,,-0.16%
2013-01-18,157.1,157.17,157.17,157.1,,0.03%
2013-01-21,157.0,157.25,157.25,157.0,,-0.06%
2013-01-22,157.2,157.1,157.29,156.8,,0.13%
2013-01-23,157.45,157.05,157.45,156.82,,0.16%
2013-01-24,157.45,157.45,157.45,157.45,,0.00%
2013-01-25,157.025,157.525,157.525,157.025,,-0.27%
2013-01-28,157.1,157.05,157.35,156.95,,0.05%
2013-01-29,157.15,157.2,157.2,156.65,,0.03%
2013-01-30,157.35,157.35,157.35,157.25,,0.13%
2013-01-31,157.15,157.15,157.25,156.95,,-0.13%
2013-02-01,157.28,157.35,157.35,156.75,,0.08%
2013-02-04,157.275,157.125,157.425,157.125,,0.00%
2013-02-05,157.25,157.15,157.25,157.05,,-0.02%
2013-02-06,157.25,156.75,157.35,156.75,,0.00%
2013-02-07,157.35,157.05,157.35,157.05,,0.06%
2013-02-08,157.25,157.35,157.35,157.05,,-0.06%
2013-02-11,157.33,157.15,157.35,157.15,,0.05%
2013-02-12,157.325,157.425,157.475,157.325,,0.00%
2013-02-13,157.37,157.32,157.37,157.1,,0.03%
2013-02-14,157.33,157.05,157.35,157.05,,-0.03%
2013-02-15,157.31,157.33,157.45,157.05,,-0.01%
2013-02-18,157.45,157.35,157.5,157.3,,0.09%
2013-02-19,157.4,157.4,157.45,157.25,,-0.03%
2013-02-20,157.33,157.25,157.33,157.15,,-0.04%
2013-02-21,157.475,157.325,157.575,157.325,,0.09%
2013-02-22,157.45,157.25,157.45,157.25,,-0.02%
2013-02-25,157.475,157.325,157.725,157.325,,0.02%
2013-02-26,157.575,157.475,158.125,157.475,,0.06%
2013-02-27,158.125,157.625,158.325,157.625,,0.35%
2013-02-28,158.375,158.125,158.625,158.125,,0.16%
2013-03-01,158.05,158.25,158.25,157.95,,-0.21%
2013-03-04,157.375,157.925,157.925,157.325,,-0.43%
2013-03-05,157.65,157.4,157.75,157.37,,0.17%
2013-03-06,158.05,157.65,158.05,157.31,,0.25%
2013-03-07,157.7,158.15,158.3,157.7,,-0.22%
2013-03-08,157.75,158.05,158.05,157.75,,0.03%
2013-03-11,158.25,158.15,158.35,157.3,,0.32%
2013-03-12,158.45,158.35,158.45,158.25,,0.13%
2013-03-13,158.9,158.5,158.95,158.5,,0.28%
2013-03-14,159.53,158.98,159.76,158.95,,0.40%
2013-03-15,158.625,159.575,159.855,158.625,,-0.57%
2013-03-18,158.65,159.15,159.25,158.65,,0.02%
2013-03-19,158.65,158.81,158.85,158.55,,0.00%
2013-03-20,158.8,158.75,158.95,158.55,,0.09%
