"Rate Date","Rate Type","Range","Weighted Average"
"6/25/2003","90-Day","0.0000","0.0000",
"6/25/2003","Call Rate","12.0000  -  18.5000%","14.8600%",
"6/24/2003","180-Day","0.0000","0.0000",
"6/24/2003","30-Day","14.0000%  -  22.0000%","15.4000%",
"6/24/2003","60-Day","0.0000","0.0000",
"6/24/2003","7-Day","13.0000%  - 18.0000%","15.8300%",
"6/24/2003","90-Day","0.0000","0.0000",
"6/24/2003","Call Rate","9.5000%  -  15.0000%","11.2100%",
"6/23/2003","180-Day","0.0000","0.0000",
"6/23/2003","30-Day","18.5000%  -  20.0000%","19.5000%",
"6/23/2003","60-Day","0.0000","0.0000",
"6/23/2003","7-Day","13.0000%  -  15.0000%","14.1400%",
"6/23/2003","90-Day","0.0000","0.0000",
"6/23/2003","Call Rate","8.0000%  -  14.0000%","9.9100%",
"6/20/2003","180-Day","0.0000","0.0000",
"6/20/2003","30-Day","18.0000%  -  18.5000%","18.0600%",
"6/20/2003","60-Day","0.0000","0.0000",
"6/20/2003","7-Day","15.8000%  -  18.0000%","16.0000%",
"6/20/2003","90-Day","0.0000","0.0000",
"6/20/2003","Call Rate","8.0000%  -  16.0000%","11.6800%",
"6/19/2003","180-Day","0.0000","0.0000",
"6/19/2003","30-Day","16.0000%  -  20.7500%","21.0700%",
"6/19/2003","60-Day","0.0000","0.0000",
"6/19/2003","7-Day","16.0000%  -  20.0000%","17.6100%",
"6/19/2003","90-Day","0.0000","0.0000",
"6/19/2003","Call Rate","16.0000%  -  18.5000%","16.3100%",
"6/18/2003","180-Day","0.0000","0.0000",
"6/18/2003","30-Day","18.5000%  -  23.0000%","21.0700%",
"6/18/2003","60-Day","0.0000","0.0000",
"6/18/2003","7-Day","18.0000%  -  23.0000%","18.8800%",
"6/18/2003","90-Day","0.0000","0.0000",
"6/18/2003","Call Rate","16.0000%  -  19.2500%","16.9800%",
"6/17/2003","180-Day","0.0000","0.0000",
"6/17/2003","30-Day","18.5000%  -  21.5000%","19.8200%",
"6/17/2003","60-Day","0.0000","0.0000",
"6/17/2003","7-Day","20.0000%","20.0000%",
"6/17/2003","90-Day","0.0000","0.0000",
"6/17/2003","Call Rate","16.0000%  -  20.0000%","16.8500%",
"6/16/2003","180-Day","0.0000","0.0000",
"6/16/2003","30-Day","21.5000%  -  26.0000%","24.5000%",
"6/16/2003","60-Day","0.0000
0.0000","0.0000",
"6/16/2003","7-Day","18.5000%  -  22.0000%","20.2600%",
"6/16/2003","90-Day","0.0000","0.0000",
"6/16/2003","Call Rate","15.7500%  -  19.5000%","16.5500%",
"6/13/2003","180-Day","0.0000","0.0000",
"6/13/2003","30-Day","18.5000%  -  21.5000%","19.8200%",
"6/13/2003","60-Day","0.0000","0.0000",
"6/13/2003","7-Day","20.0000%","20.0000%",
"6/13/2003","90-Day","0.0000","0.0000",
"6/13/2003","Call Rate","16.0000%  -  20.0000%","16.8500%",
"6/12/2003","180-Day","0.0000%","0.0000%",
"6/12/2003","30-Day","0.0000%","0.0000%",
"6/12/2003","60-Day","0.0000%","0.0000%",
"6/12/2003","7-Day","17.5000%  -  24.0000%","19.2200%",
"6/12/2003","90-Day","0.0000%","0.0000%",
"6/12/2003","Call Rate","16.5000%  -  23.0000%","17.
17.6800%",
"6/11/2003","180-Day","0.0000","0.0000",
"6/11/2003","30-Day","19.0000%  -  21.0000%","20.2000%",
"6/11/2003","60-Day","19.0000%","19.0000%",
"6/11/2003","7-Day","19.0000%  -  20.0000%","19.3800%",
"6/11/2003","90-Day","20.0000%","20.0000%",
"6/11/2003","Call Rate","16.2500%  -  21.0000%","17.9100%",
"6/10/2003","180-Day","0.0000","0.0000",
"6/10/2003","30-Day","19.5000%  -  19.7500%","19.5700%",
"6/10/2003","60-Day","0.0000","0.0000",
"6/10/2003","7-Day","18.0000%  -  20.0000%","18.9200%",
"6/10/2003","90-Day","0.0000","0.0000",
"6/10/2003","Call Rate","16.0000%  -  23.0000%","17.7300%",
"6/9/2003","180-Day","0.0000","0.0000",
"6/9/2003","30-Day","22.2500%","22.2500%",
"6/9/2003","60-Day","0.0000","0.0000",
"6/9/2003","7-Day","21.0000%  -  22.0000%","21.2800%",
"6/9/2003","90-Day","0.0000","0.0000",
"6/9/2003","Call Rate","16.25000% -  23.5000%","17.8800%",
"6/6/2003","180-Day","0.0000","0.0000",
"6/6/2003","30-Day","19.0000%  -  23.0000%","20.3300%",
"6/6/2003","60-Day","27.0000%","27.0000%",
"6/6/2003","7-Day","23.0000%  -  25.0000%","24.0000%",
"6/6/2003","90-Day","0.0000","0.0000",
"6/6/2003","Call Rate","16.7500%  -  24.8500%","18.3800%",
"6/5/2003","180-Day","-","-",
"6/5/2003","30-Day","20.0000%-27.0000%","21.9100%",
"6/5/2003","60-Day","25.0000%-25.0000%","25.0000%",
"6/5/2003","7-Day","18.0000%-18.0000%","18.0000%",
"6/5/2003","90-Day","-","-",
"6/5/2003","Call Rate","16.5000%-24.0000%","18.6900%",
"6/4/2003","180-Day","-","-",
"6/4/2003","30-Day","18.7500%-18.7500&","18.7500%",
"6/4/2003","60-Day","-","-",
"6/4/2003","7-Day","18.2500%-24.50000%","21.2000%",
"6/4/2003","90-Day","-","-",
"6/4/2003","Call Rate","17.0000%-24.0000%","19.2600%",
"6/3/2003","180-Day","0.0000","0.0000",
"6/3/2003","30-Day","0.0000","0.0000",
"6/3/2003","60-Day","0.0000","0.0000",
"6/3/2003","7-Day","17.5000%  -  23.0000%","19.4700%",
"6/3/2003","90-Day","0.0000","0.0000",
"6/3/2003","Call Rate","16.5000%  -  24.5000%","18.3300%",
"6/2/2003","180-Day","0.0000%","0.0000%",
"6/2/2003","30-Day","22.5000%  -  24.5000%","23.1700%",
"6/2/2003","60-Day","0.0000%","0.0000%",
"6/2/2003","7-Day","20.0000%  -  24.5000%","24.5000%",
"6/2/2003","90-Day","0.0000%","0.0000%",
"6/2/2003","Call Rate","16.5000%  -  25.0000%","19.0000%",
"5/30/2003","180-Day","0.0000%","0.0000%",
"5/30/2003","30-Day","0.0000%","0.0000%",
"5/30/2003","60-Day","0.0000%","0.0000%",
"5/30/2003","7-Day","19.0000%  -  24.0000%","20.3000%",
"5/30/2003","90-Day","0.0000%","0.0000%",
"5/30/2003","Call Rate","15.5000%  -  22.2500%","17.9900%",
"5/28/2003","180-Day","0.0000%","0.0000%",
"5/28/2003","30-Day","25.0000%","25.0000%",
"5/28/2003","60-Day","0.0000%","0.0000%",
"5/28/2003","7-Day","19.0000%  -  23.5000%","20.4900%",
"5/28/2003","90-Day","0.00000%","0.0000%",
"5/28/2003","Call Rate","16.5000%  -  24.0000%","19.0100%",
"5/27/2003","180-Day","0.0000%","0.0000%",
"5/27/2003","30-Day","15.5000%","15.5000%",
"5/27/2003","60-Day","0.0000%","0.0000%",
"5/27/2003","7-Day","12.0000%  -  21.2500%","16.6800%",
"5/27/2003","90-Day","0.0000%","0.0000%",
"5/27/2003","Call Rate","16.5000%  -  22.0000%","17.8200%",
"5/26/2003","180-Day","0.0000%","0.0000%",
"5/26/2003","30-Day","0.0000%","0.0000%",
"5/26/2003","60-Day","0.0000%","0.0000%",
"5/26/2003","7-Day","15.0000%  -  20.0000%","16.7700%",
"5/26/2003","90-Day","0.0000%","0.0000%",
"5/26/2003","Call Rate","16.0000%  -  22.0000%","17.3900%",
"5/23/2003","7-Day","15.2500%  -  19.0000%","17.9300%",
"5/23/2003","Call Rate","15.0000%  -  21.0000%","16.5900%",
"5/22/2003","30-Day","18.0000%  -  28.0000%","25.5000%",
"5/22/2003","60-Day","23.0000%","23.0000%",
"5/22/2003","7-Day","18.0000%  -  28.0000%","20.8100%",
"5/22/2003","90-Day","23.0000%","23.0000%",
"5/22/2003","Call Rate","16.4500%  -  26.0000%","18.7900%",
"5/21/2003","30-Day","18.2500%  -  24.5000%","21.9800%",
"5/21/2003","7-Day","18.2500%  -  27.0000%","22.3300%",
"5/21/2003","Call Rate","16.8000%  -  26.0000%","20.4500%",
"5/20/2003","30-Day","18.0000%  -  23.0000%","19.5300%",
"5/20/2003","7-Day","19.5000%  -  21.5000%","20.5700%",
"5/20/2003","Call Rate","16.0000%  -  24.0000%","18.5500%",
"5/19/2003","30-Day","24.0000%","24.0000%",
"5/19/2003","7-Day","17.5000%  -  21.0000%","18.5400%",
"5/19/2003","Call Rate","16.2500%  -  22.0000%","18.4100%",
"5/16/2003","30-Day","20.5000%  -  23.0000%","21.3300%",
"5/16/2003","7-Day","16.5000%  - 19.5000%","17.7100%",
"5/16/2003","Call Rate","16.2500%  -  19.5000%","16.9200%",
"5/15/2003","30-Day","18.2500%","18.2500%",
"5/15/2003","7-Day","17.7500%  -  20.0000%","18.8000%",
"5/15/2003","Call Rate","16.0000%  -  19.0000%","16.8600%",
"5/14/2003","30-Day","15.5000%   -  26.0000%","20.6300%",
"5/14/2003","7-Day","16.2500%  -  22.0000%","18.9700%",
"5/14/2003","Call Rate","115.5000%  -  19.0000%","16.3800%",
"5/12/2003","30-Day","16.2500%  -  19.5000%","17.1500%",
"5/12/2003","7-Day","17.5000%","17.5000%",
"5/12/2003","90-Day","22.0000%","22.0000%",
"5/12/2003","Call Rate","15.0000%  -  18.5000%","16.1900%",
"5/9/2003","30-Day","13.0000%  -  21.0000%","20.2700%",
"5/9/2003","7-Day","15.0000%","15.0000%",
"5/9/2003","Call Rate","14.2500%  -  18.0000%","15.3200%",
"5/8/2003","30-Day","15.0000%  -  19.0000%","16.3300%",
"5/8/2003","7-Day","18.0000%  -  18.5000%","18.3800%",
"5/8/2003","Call Rate","16.0000%  -  18.7500%","16.6100%",
"5/7/2003","30-Day","15.5000%  -  25.5000%","19.5500%",
"5/7/2003","7-Day","17.2500%  -  18.0000%","17.5700%",
"5/7/2003","Call Rate","16.0000%  -  18.9000%","16.4300%",
"5/6/2003","30-Day","15.0000%  -  20.0000%","16.4600%",
"5/6/2003","7-Day","16.0000%  -  17.5000%","16.2500%",
"5/6/2003","Call Rate","14.5000%  -  17.5000%","15.9000%",
"5/5/2003","30-Day","22.0000%","22.0000%",
"5/5/2003","7-Day","17.0000%  -  18.5000%","17.9900%",
"5/5/2003","Call Rate","12.0000%  - 16.2500%","14.1600%",
"5/3/2003","30-Day","19.5000%","19.5000%",
"5/3/2003","7-Day","15.0000%  -  16.5000%","15.7400%",
"5/3/2003","Call Rate","8.9500%  -  16.0000%","12.8900%",
"5/2/2003","180-Day","-","-",
"5/2/2003","30-Day","19.5000%-19.5000%","19.5000%",
"5/2/2003","60-Day","-","-",
"5/2/2003","7-Day","16.0000%-16.5000%","15.7400%",
"5/2/2003","90-Day","-","-",
"5/2/2003","Call Rate","8.9500%-16.0000%","12.8900%",
"4/30/2003","180-Day","-","-",
"4/30/2003","30-Day","-","-",
"4/30/2003","60-Day","-","-",
"4/30/2003","7-Day","14.0000%-20.5000%","17.3500%",
"4/30/2003","90-Day","-","-",
"4/30/2003","Call Rate","8.9500%-19.5000%","15.4600%",
"4/29/2003","180-Day","-","-",
"4/29/2003","30-Day","17.0000%-17.0000%","17.0000%",
"4/29/2003","60-Day","-","-",
"4/29/2003","7-Day","13.0000%-17.0000%","14.7200%",
"4/29/2003","90-Day","-","-",
"4/29/2003","Call Rate","13.0000%-18.0000%","14.4800%",
"4/28/2003","180-Day","-","-",
"4/28/2003","30-Day","8.0000%-8.0000%","8.0000%",
"4/28/2003","60-Day","-","-",
"4/28/2003","7-Day","13.0000%-18.0000%","15.0600%",
"4/28/2003","90-Day","-","-",
"4/28/2003","Call Rate","10.0000%-16.0000%","12.0100%",
"4/25/2003","180-Day","-","-",
"4/25/2003","30-Day","20.0000%-20.0000%","20.0000%",
"4/25/2003","60-Day","-","-",
"4/25/2003","7-Day","15.0000%-18.0000%","16.4300%",
"4/25/2003","90-Day","-","-",
"4/25/2003","Call Rate","8.0000%-13.5000%","10.0600%",
"4/24/2003","180-Day","-","-",
"4/24/2003","30-Day","15.2500%-16.0000%","15.5000%",
"4/24/2003","60-Day","-","-",
"4/24/2003","7-Day","8.0000%-15.0000%","12.2600%",
"4/24/2003","90-Day","-","-",
"4/24/2003","Call Rate","5.5000%-11.5000%","6.7300%",
"4/23/2003","180-Day","-","-",
"4/23/2003","30-Day","16.5000%-24.0000%","19.2700%",
"4/23/2003","60-Day","-","-",
"4/23/2003","7-Day","8.0000%-17.0000%","12.1300%",
"4/23/2003","90-Day","-","-",
"4/23/2003","Call Rate","5.0000%-16.5000%","5.7200%",
"4/22/2003","180-Day","-","-",
"4/22/2003","30-Day","20.5000%-24.0000%","18.3800%",
"4/22/2003","60-Day","-","-",
"4/22/2003","7-Day","14.0000%-20.5000%","14.4900%",
"4/22/2003","90-Day","-","-",
"4/22/2003","Call Rate","3.0000%-11.5000%","5.0700%",
"4/17/2003","180-Day","-","-",
"4/17/2003","30-Day","18.5400%-22.5000%","20.5200%",
"4/17/2003","60-Day","-","-",
"4/17/2003","7-Day","2.0000%-16.0000%","6.3400%",
"4/17/2003","90-Day","-","-",
"4/17/2003","Call Rate","2.0000%-12.9500%","6.3500%",
"4/16/2003","180-Day","-","-",
"4/16/2003","30-Day","-","-",
"4/16/2003","60-Day","-","-",
"4/16/2003","7-Day","13.0500%-20.5000%","16.9400%",
"4/16/2003","90-Day","-","-",
"4/16/2003","Call Rate","15.0000%-19.0000%","16.3100%",
"4/15/2003","180-Day","-","-",
"4/15/2003","30-Day","-","-",
"4/15/2003","60-Day","-","-",
"4/15/2003","7-Day","16.0000%-16.0000%","16.0000%",
"4/15/2003","90-Day","-","-",
"4/15/2003","Call Rate","15.8000%-19.0000%","16.8100%",
"4/14/2003","180-Day","-","-",
"4/14/2003","30-Day","18.0000%-18.0000%","18.0000%",
"4/14/2003","60-Day","-","-",
"4/14/2003","7-Day","18.5000%-21.5000%","19.5000%",
"4/14/2003","90-Day","-","-",
"4/14/2003","Call Rate","15.5000%-20.0000%","16.8300%",
"4/11/2003","180-Day","-","-",
"4/11/2003","30-Day","-","-",
"4/11/2003","60-Day","-","-",
"4/11/2003","7-Day","16.5000%-20.0000%","17.6700%",
"4/11/2003","90-Day","-","-",
"4/11/2003","Call Rate","14.0000%-18.0000%","16.1100%",
"4/10/2003","180-Day","-","-",
"4/10/2003","30-Day","18.0000%-26.0000%","21.6000%",
"4/10/2003","60-Day","-","-",
"4/10/2003","7-Day","13.5000%-18.0000%","15.6500%",
"4/10/2003","90-Day","-","-",
"4/10/2003","Call Rate","12.2500%-17.0000%","14.1400%",
"4/9/2003","180-Day","-","-",
"4/9/2003","30-Day","17.0000%-17.5000%","17.2100%",
"4/9/2003","60-Day","-","-",
"4/9/2003","7-Day","12.5000%-19.5000%","15.0300%",
"4/9/2003","90-Day","-","-",
"4/9/2003","Call Rate","9.0000%-15.5000%","11.5200%",
"4/8/2003","30-Day","14.5000%  -  18.0000%","16.9000%",
"4/8/2003","7-Day","11.0000%  17.5000%","14.3100%",
"4/8/2003","Call Rate","7.0000%  -  12.0000%","9.3900%",
"4/7/2003","30-Day","15.5000%  -  25.0000%","18.3000%",
"4/7/2003","7-Day","9.2500%  -  14.7500%","11.4300%",
"4/7/2003","Call Rate","7.0000%  -  12.0000%","8.1800%",
"4/4/2003","30-Day","15.0000%  -  19.0000%","16.7800%",
"4/4/2003","7-Day","11.7500%  -  15.5000%","12.7300%",
"4/4/2003","Call Rate","7.0000%  -  12.0000%","7.9200%",
"4/3/2003","30-Day","16.5000%  -  24.5000%","20.5000%",
"4/3/2003","7-Day","16.0000%","16.0000%",
"4/3/2003","Call Rate","8.9500%  -  14.5000%","9.6000%",
"4/2/2003","30-Day","12.0000%  18.5000%","12.7800%",
"4/2/2003","7-Day","14.5000%  -  16.5000%","15.7600%",
"4/2/2003","Call Rate","9.9500%  -  15.0000%","9.7500%",
"4/1/2003","30-Day","14.5000%  -  19.0000%","16.7500%",
"4/1/2003","7-Day","11.0000%  -  19.0000%","2.9700%",
"4/1/2003","Call Rate","8.0000%  -  14.2500%","9.3700%",
"3/31/2003","7-Day","15.0000%  20.0000","15.4500%",
"3/31/2003","Call Rate","8.8000%  -  17.5000%","11.1700%",
"3/28/2003","30-Day","21.0000%","21.0000%",
"3/28/2003","7-Day","9.0000%  -  15.0000%","10.1900%",
"3/28/2003","Call Rate","8.3500%  -  16.7500%","10.9900%",
"3/27/2003","30-Day","16.5000%","16.5000%",
"3/27/2003","7-Day","9.0000%  -  17.0000%","11.6200%",
"3/27/2003","Call Rate","8.0000%  -  16.0000%","9.5100%",
"3/26/2003","30-Day","18.2500%","18.2500%",
"3/26/2003","7-Day","8.9500%  -  15.5000%","10.2400%",
"3/26/2003","Call Rate","8.5000%  -  12.5000%","9.5200%",
"3/25/2003","30-Day","18.0000%","18.0000%",
"3/25/2003","7-Day","9.0000%  -  10.0000%","9.5700%",
"3/25/2003","Call Rate","8.7500%  -  12.0000%","9.0700%",
"3/24/2003","30-Day","12.5000%  -  18.0000%","15.1800%",
"3/24/2003","7-Day","8.0000%   -  16.7500%","12.8100%",
"3/24/2003","Call Rate","8.9000%  -  12.5000%","9.1600%",
"3/21/2003","30-Day","12.5000%   -  19.0000%","14.2000%",
"3/21/2003","60-Day","19.0000%","19.0000%",
"3/21/2003","7-Day","12.7500%  -  13.2500%","12.8300%",
"3/21/2003","Call Rate","8.0000%  -  19.0000%","11.5000%",
"3/20/2003","30-Day","18.7500%","18.7500%",
"3/20/2003","7-Day","9.5000%  -  13.2500%","19.9500%",
"3/20/2003","Call Rate","8
8.9000%  -  16.0000%","11.5000%",
"3/19/2003","30-Day","18.0000%  -  19.2500%","19.5000%",
"3/19/2003","7-Day","
19.000%  19000%
17.0000%  19.0000%","17.4500%
17.4500%",
"3/19/2003","Call Rate","8.9800%  17.5000%","15.1900%",
"3/18/2003","180-Day","-","-",
"3/18/2003","30-Day","20.0000%-20.0000%","20.0000%",
"3/18/2003","60-Day","-","-",
"3/18/2003","7-Day","-","-",
"3/18/2003","90-Day","-","-",
"3/18/2003","Call Rate","10.4500%-21.0000%","16.2500%",
"3/17/2003","180-Day","-","-",
"3/17/2003","30-Day","18.4200%-22.0000%","19.2900%",
"3/17/2003","60-Day","-","-",
"3/17/2003","7-Day","-","-",
"3/17/2003","90-Day","-","-",
"3/17/2003","Call Rate","16.2500%-18.0000%","16.7000%",
"3/14/2003","180-Day","-","-",
"3/14/2003","30-Day","16.0000%-20.0000%","19.0600%",
"3/14/2003","60-Day","-","-",
"3/14/2003","7-Day","16.2500%-24.0000%","17.9100%",
"3/14/2003","90-Day","-","-",
"3/14/2003","Call Rate","15.0000%-18.0000%","16.6700%",
"3/13/2003","180-Day","-","-",
"3/13/2003","30-Day","-","-",
"3/13/2003","60-Day","-","-",
"3/13/2003","7-Day","16.2500%-16.2500%","16.2500%",
"3/13/2003","90-Day","-","-",
"3/13/2003","Call Rate","15.0000%-19.2500%","16.7200%",
"3/12/2003","180-Day","-","-",
"3/12/2003","30-Day","15.5000%-16.000%","15.5500%",
"3/12/2003","60-Day","-","-",
"3/12/2003","7-Day","16.2500%-18.5000%","16.7500%",
"3/12/2003","90-Day","-","-",
"3/12/2003","Call Rate","14.7500%-18.5000%","16.3900%",
"3/11/2003","180-Day","-","-",
"3/11/2003","30-Day","-","-",
"3/11/2003","60-Day","-","-",
"3/11/2003","7-Day","15.0000%-17.0000%","15.6500%",
"3/11/2003","90-Day","-","-",
"3/11/2003","Call Rate","10.5000%-22.0000%","15.2500%",
"3/10/2003","180-Day","-","-",
"3/10/2003","30-Day","15.0000%-21.0000%","17.7300%",
"3/10/2003","60-Day","-","-",
"3/10/2003","7-Day","14.0000%-17.0000%","15.6900%",
"3/10/2003","90-Day","-","-",
"3/10/2003","Call Rate","9.5000%-15.5000%","13.4400%",
"3/7/2003","180-Day","-","-",
"3/7/2003","30-Day","16.0000%-21.0000%","17.4500%",
"3/7/2003","60-Day","-","-",
"3/7/2003","7-Day","15.5000%-17.0000%","16.2500%",
"3/7/2003","90-Day","-","-",
"3/7/2003","Call Rate","8.9000%-16.5000%","10.5000%",
"3/6/2003","180-Day","-","-",
"3/6/2003","30-Day","15.0000%-26.0000%","18.5500%",
"3/6/2003","60-Day","20.0000%-20.0000%","20.0000%",
"3/6/2003","7-Day","13.5000%-16.0000%","14.1500%",
"3/6/2003","90-Day","-","-",
"3/6/2003","Call Rate","8.9000%-15.0000%","11.1600%",
"3/5/2003","180-Day","-","-",
"3/5/2003","30-Day","18.0000%-18.5000%","18.2500%",
"3/5/2003","60-Day","18.5000%-18.5000%","18.5000%",
"3/5/2003","7-Day","12.0000%-18.0000%","14.4200%",
"3/5/2003","90-Day","-","-",
"3/5/2003","Call Rate","9.0000%-15.0000%","11.2200%",
"3/4/2003","180-Day","-","-",
"3/4/2003","30-Day","18.0000%-18.0000%","18.0000%",
"3/4/2003","60-Day","-","-",
"3/4/2003","7-Day","11.0000%-16.5000%","13.4000%",
"3/4/2003","90-Day","-","-",
"3/4/2003","Call Rate","8.9500%-13.0000%","9.7300%",
"3/3/2003","180-Day","-","-",
"3/3/2003","30-Day","17.0000%-20.0000%","18.0000%",
"3/3/2003","60-Day","-","-",
"3/3/2003","7-Day","14.0000%-16.0000%","15.0600%",
"3/3/2003","90-Day","-","-",
"3/3/2003","Call Rate","8.5000%-14.0000%","9.1700%",
"2/28/2003","180-Day","-","-",
"2/28/2003","30-Day","18.2500%-19.0000%","18.9900%",
"2/28/2003","60-Day","-","-",
"2/28/2003","7-Day","9.0000%-14.0000%","11.8500%",
"2/28/2003","90-Day","-","-",
"2/28/2003","Call Rate","8.9500%-15.0000%","9.3200%",
"2/27/2003","180-Day","-","-",
"2/27/2003","30-Day","9.0000%-20.0000%","15.2900%",
"2/27/2003","60-Day","-","-",
"2/27/2003","7-Day","14.0000%-18.0000%","15.8700%",
"2/27/2003","90-Day","-","-",
"2/27/2003","Call Rate","8.8000%-16.0000%","9.5700%",
"2/26/2003","180-Day","-","-",
"2/26/2003","30-Day","18.0000%-18.0000%","18.0000%",
"2/26/2003","60-Day","-","-",
"2/26/2003","7-Day","9.0000%-18.0000%","10.6600%",
"2/26/2003","90-Day","-","-",
"2/26/2003","Call Rate","8.8500%-19.0000%","9.3800%",
"2/25/2003","180-Day","-","-",
"2/25/2003","30-Day","9.0000%-18.0000%","14.4000%",
"2/25/2003","60-Day","-","-",
"2/25/2003","7-Day","10.0000%-20.0000%","11.1100%",
"2/25/2003","90-Day","-","-",
"2/25/2003","Call Rate","8.9000%-14.0000%","9.2200%",
"2/24/2003","180-Day","-","-",
"2/24/2003","30-Day","18.2500%-19.0000%","18.5000%",
"2/24/2003","60-Day","-","-",
"2/24/2003","7-Day","10.0000%-16.0000%","12.3100%",
"2/24/2003","90-Day","-","-",
"2/24/2003","Call Rate","8.5000%-14.0000%","9.9900%",
"2/21/2003","180-Day","-","-",
"2/21/2003","30-Day","-","-",
"2/21/2003","60-Day","-","-",
"2/21/2003","7-Day","11.0000%-19.0000%","12.8100%",
"2/21/2003","90-Day","-","-",
"2/21/2003","Call Rate","8.9000%-16.5000%","11.9000%",
"2/20/2003","180-Day","-","-",
"2/20/2003","30-Day","21.0000%-21.0000%","21.0000%",
"2/20/2003","60-Day","-","-",
"2/20/2003","7-Day","17.5000%-19.0000%","17.8000%",
"2/20/2003","90-Day","-","-",
"2/20/2003","Call Rate","14.0000%-17.0000%","14.8100%",
"2/19/2003","180-Day","-","-",
"2/19/2003","30-Day","20.5000%-20.5000%","20.5000%",
"2/19/2003","60-Day","-","-",
"2/19/2003","7-Day","17.0000%-20.0000%","18.0700%",
"2/19/2003","90-Day","-","-",
"2/19/2003","Call Rate","14.0000%-20.0000%","15.2300%",
"2/18/2003","180-Day","-","-",
"2/18/2003","30-Day","-","-",
"2/18/2003","60-Day","-","-",
"2/18/2003","7-Day","16.0000%-24.5000%","18.0500%",
"2/18/2003","90-Day","-","-",
"2/18/2003","Call Rate","12.0000%-23.5000%","15.1700%",
"2/17/2003","180-Day","-","-",
"2/17/2003","30-Day","-","-",
"2/17/2003","60-Day","-","-",
"2/17/2003","7-Day","14.0000%-21.0000%","17.80000%",
"2/17/2003","90-Day","-","-",
"2/17/2003","Call Rate","12.0000%-19.5000%","14.8600%",
"2/14/2003","180-Day","-","-",
"2/14/2003","30-Day","16.0000%-26.0000%","22.7600%",
"2/14/2003","60-Day","-","-",
"2/14/2003","7-Day","17.0000%-19.0000%","18.0000%",
"2/14/2003","90-Day","-","-",
"2/14/2003","Call Rate","8.9500%-18.2500%","13.6100%",
"2/13/2003","180-Day","-","-",
"2/13/2003","30-Day","20.0000%-23.0000%","22.0600%",
"2/13/2003","60-Day","-","-",
"2/13/2003","7-Day","16.5000%-20.0000%","17.9600%",
"2/13/2003","90-Day","-","-",
"2/13/2003","Call Rate","8.9000%-20.0000%","15.3900%",
"2/10/2003","180-Day","-","-",
"2/10/2003","30-Day","-","-",
"2/10/2003","60-Day","-","-",
"2/10/2003","7-Day","18.0000%-19.0000%","18.3300%",
"2/10/2003","90-Day","-","-",
"2/10/2003","Call Rate","15.5000%-21.0000%","17.0000%",
"2/7/2003","180-Day","-","-",
"2/7/2003","30-Day","22.0000%-22.0000%","22.0000%",
"2/7/2003","60-Day","-","-",
"2/7/2003","7-Day","15.0000%-17.0000%","15.6000%",
"2/7/2003","90-Day","-","-",
"2/7/2003","Call Rate","14.0000%-20.0000%","15.8100%",
"2/6/2003","180-Day","-","-",
"2/6/2003","30-Day","18.0000%-20.0000%","18.8900%",
"2/6/2003","60-Day","-","-",
"2/6/2003","7-Day","13.5000%-17.5000%","15.7400%",
"2/6/2003","90-Day","-","-",
"2/6/2003","Call Rate","11.0000%-17.0000%","13.6400%",
"2/5/2003","180-Day","-","-",
"2/5/2003","30-Day","9.0000%-18.0000%","15.5200%",
"2/5/2003","60-Day","-","-",
"2/5/2003","7-Day","14.0000%-16.5000%","14.1900%",
"2/5/2003","90-Day","-","-",
"2/5/2003","Call Rate","8.9500%-15.0000%","10.2100%",
"2/4/2003","180-Day","-","-",
"2/4/2003","30-Day","17.0000%-20.0000%","18.7700%",
"2/4/2003","60-Day","22.0000%-22.0000%","22.0000%",
"2/4/2003","7-Day","13.0000%-16.0000%","14.2400%",
"2/4/2003","90-Day","-","-",
"2/4/2003","Call Rate","8.9500%-13.2500%","9.4400%",
"2/3/2003","180-Day","-","-",
"2/3/2003","30-Day","14.2500%-27.0000%","19.3500%",
"2/3/2003","60-Day","-","-",
"2/3/2003","7-Day","13.0000%-16.0000%","14.0800%",
"2/3/2003","90-Day","-","-",
"2/3/2003","Call Rate","802500%-13.0000%","9.4800%",
"1/31/2003","180-Day","-","-",
"1/31/2003","30-Day","-","-",
"1/31/2003","60-Day","-","-",
"1/31/2003","7-Day","12.0000%-12.0000%","12.0000%",
"1/31/2003","90-Day","-","-",
"1/31/2003","Call Rate","8.0000%-13.5000%","9.6300%",
"1/30/2003","180-Day","-","-",
"1/30/2003","30-Day","17.0000%-20.0000%","18.5000%",
"1/30/2003","60-Day","-","-",
"1/30/2003","7-Day","11.0000%-12.0000%","11.5000%",
"1/30/2003","90-Day","-","-",
"1/30/2003","Call Rate","8.0000%-13.5000%","9.3600%",
"1/29/2003","180-Day","-","-",
"1/29/2003","30-Day","18.0000%-20.0000%","18.7000%",
"1/29/2003","60-Day","22.0000%-22.0000%","22.0000%",
"1/29/2003","7-Day","9.0000%-13.5000%","10.9200%",
"1/29/2003","90-Day","-","-",
"1/29/2003","Call Rate","8.0000%-12.5000%","9.1700%",
"1/28/2003","180-Day","-","-",
"1/28/2003","30-Day","-","-",
"1/28/2003","60-Day","-","-",
"1/28/2003","7-Day","8.0000%-14.5000%","9.0200%",
"1/28/2003","90-Day","-","-",
"1/28/2003","Call Rate","8.0000%-12.5000%","9.5100%",
