"Rate Date","Rate Type","Range","Weighted Average"
"11/7/2023","OBB Rate","16.00 - 17.00","16.34",
"11/6/2023","Call Rate","15.75 - 15.75","15.75",
"11/6/2023","OBB Rate","15.00 - 17.00","15.93",
"11/3/2023","Call Rate","16.50 - 16.50","16.50",
"11/3/2023","OBB Rate","15.00 - 20.00","16.39",
"11/2/2023","Call Rate","18.00 - 22.00","19.88",
"11/2/2023","OBB Rate","15.75 - 23.00","19.57",
"11/1/2023","Call Rate","18.00 - 20.00","18.45",
"11/1/2023","OBB Rate","16.00 - 24.00","19.57",
"10/31/2023","Call Rate","15.00 - 15.00","15.00",
"10/31/2023","OBB Rate","15.00 - 21.00","16.80",
"10/30/2023","Call Rate","15.00 - 15.00","15.00",
"10/30/2023","OBB Rate","15.00 - 18.00","16.09",
"10/27/2023","4-7 Days","16.00 - 16.00","16.00",
"10/27/2023","OBB Rate","15.00 - 20.00","16.28",
"10/26/2023","Call Rate","16.00 - 16.00","16.00",
"10/26/2023","OBB Rate","14.00 - 20.00","15.79",
"10/25/2023","OBB Rate","1.00 - 20.00","10.08",
"10/24/2023","OBB Rate","2.00 - 5.00","4.64",
"10/23/2023","4-7 Days","3.00 - 3.00","3.00",
"10/23/2023","OBB Rate","1.00 - 5.00","2.87",
"10/20/2023","Call Rate","2.00 - 2.00","2.00",
"10/20/2023","OBB Rate","1.00 - 3.00","2.41",
"10/19/2023","OBB Rate","1.00 - 5.00","1.70",
"10/18/2023","OBB Rate","1.00 - 5.00","1.07",
"10/17/2023","Call Rate","1.00 - 1.00","1.00",
"10/17/2023","OBB Rate","1.00 - 10.00","1.22",
"10/16/2023","4-7 Days","1.00 - 1.00","1.00",
"10/16/2023","OBB Rate","1.00 - 10.00","1.07",
"10/13/2023","Call Rate","1.00 - 1.00","1.00",
"10/13/2023","8-35 Days","2.00 - 2.00","2.00",
"10/13/2023","OBB Rate","1.00 - 13.00","2.30",
"10/12/2023","OBB Rate","1.00 - 12.00","1.63",
"10/12/2023","4-7 Days","10.00 - 10.00","10.00",
"10/11/2023","Call Rate","10.00 - 10.00","10.00",
"10/11/2023","OBB Rate","1.00 - 14.00","8.74",
"10/10/2023","OBB Rate","0.50 - 2.00","1.20",
"10/9/2023","OBB Rate","0.50 - 1.00","0.92",
"10/6/2023","OBB Rate","0.50 - 1.00","0.94",
"10/5/2023","OBB Rate","1.00 - 3.00","1.10",
"10/4/2023","Call Rate","1.00 - 1.00","1.00",
"10/4/2023","OBB Rate","1.00 - 1.30","1.15",
"10/3/2023","Call Rate","1.00 - 1.00","1.00",
"10/3/2023","8-35 Days","7.00 - 7.00","7.00",
"10/3/2023","OBB Rate","0.5 - 7.00","1.08",
"9/29/2023","Call Rate","1.00 - 1.00","1.00",
"9/29/2023","OBB Rate","1.00 - 7.00","2.20",
"9/26/2023","Call Rate","10.00 - 11.00","10.14",
"9/26/2023","OBB Rate","4.00 - 18.00","11.48",
"9/25/2023","Call Rate","5.00 - 8.00","7.59",
"9/25/2023","OBB Rate","4.00 - 15.00","10.62",
"9/22/2023","Call Rate","2.00 - 2.00","2.00",
"9/22/2023","OBB Rate","2.00 - 8.00","4.59",
"9/21/2023","Call Rate","2.00 - 2.00","2.00",
"9/21/2023","OBB Rate","2.00 - 14.50","3.90",
"9/20/2023","Call Rate","3.00 - 3.00","3.00",
"9/20/2023","OBB Rate","1.00 - 14.50","3.98",
"9/19/2023","Call Rate","12.00 - 12.00","12.00",
"9/19/2023","OBB Rate","3.00 - 19.00","12.14",
"9/18/2023","OBB Rate","8.00- 21.00","14.22",
"9/18/2023","Call Rate","24.00 - 24.00","24.00",
"9/18/2023","4-7 Days","10.00 - 10.00","10.00",
"9/15/2023","OBB Rate","21.00 - 26.00","24.53",
"9/15/2023","Call Rate","24.00 - 24.00","24.00",
"9/14/2023","Call Rate","24.00-24.00","24.00",
"9/14/2023","OBB Rate","15.00-30.00","24.61",
"9/13/2023","Call Rate","24.00-24.00","24.00",
"9/13/2023","OBB Rate","18.50-30.00","25.77",
"9/12/2023","Call Rate","25.00-25.00","25.00",
"9/12/2023","OBB Rate","18.00-25.00","22.66",
"9/11/2023","Call Rate","23.00-24.00","23.50",
"9/11/2023","4-7 Days","25.00-25.00","25.00",
"9/11/2023","OBB Rate","14.00-25.00","23.03",
"9/8/2023","OBB Rate","15.00-25.00","21.70",
"9/8/2023","Call Rate","20.00-20.00","20.00",
"9/7/2023","OBB Rate","3.00 - 8.50","4.60",
"9/5/2023","OBB Rate","1.00 - 10.00","2.95",
"9/4/2023","OBB Rate","1.00 - 6.00","2.40",
"9/1/2023","OBB Rate","1.00 - 5.00","2.09",
